cid,bdate,gen
NASAW00017977,22/12/1973,Female
NASAW00017978,17/5/1974,Male
NASAW00017979,2/3/1974,Female
NASAW00017980,17/12/1972,Female
NASAW00017981,19/4/1978,Male
NASAW00017982,7/3/1973,Male
NASAW00017983,31/12/1972,Female
NASAW00017984,21/9/1972,Female
NASAW00017985,12/10/1972,Male
NASAW00017986,19/4/1978,Female
NASAW00017987,3/11/1971,Female
NASAW00017988,22/6/1971,Male
NASAW00017989,11/2/1971,Female
NASAW00017990,15/12/1981,Female
NASAW00017991,23/6/1976,Male
NASAW00017992,22/6/1970,Female
NASAW00017993,15/4/1936,Male
NASAW00017994,1/2/1970,Male
NASAW00017995,21/12/1969,Female
NASAW00017996,10/11/1975,Male
NASAW00017997,24/2/1975,Female
NASAW00017998,2/5/1974,Female
NASAW00017999,22/12/1968,Male
NASAW00018000,24/5/1969,Male
NASAW00018001,10/1/1969,Male
NASAW00018002,7/9/1938,Female
NASAW00018003,19/3/1939,Male
NASAW00018004,10/7/1971,Female
NASAW00018005,15/2/1972,Female
NASAW00018006,30/3/1940,Male
NASAW00018007,8/8/1939,Female
NASAW00018008,18/3/1971,Female
NASAW00018009,1/11/1970,Female
NASAW00018010,6/5/1976,Male
NASAW00018011,31/10/1970,Male
NASAW00018012,9/11/1970,Female
NASAW00018013,12/1/1982,Female
NASAW00018014,3/9/1969,Male
NASAW00018015,10/10/1969,Female
NASAW00018016,16/2/1975,Female
NASAW00018017,2/9/1975,Male
NASAW00018018,1/4/1974,Male
NASAW00018019,21/6/1969,Female
NASAW00018020,9/7/1982,Male
NASAW00018021,17/1/1982,Female
NASAW00018022,14/3/1985,Male
NASAW00018023,14/4/1985,Male
NASAW00018024,14/4/1985,Female
NASAW00018025,13/5/1984,Male
NASAW00018026,26/4/1969,Female
NASAW00018027,12/8/1978,Female
NASAW00018028,12/8/1978,Male
NASAW00018029,17/6/1983,Female
NASAW00018030,8/8/1981,Male
NASAW00018031,11/7/1980,Female
NASAW00018032,3/12/1981,Female
NASAW00018033,17/11/1981,Female
NASAW00018034,20/9/1917,Male
NASAW00018035,9/3/1980,Female
NASAW00018036,18/1/1985,Male
NASAW00018037,19/10/1979,Male
NASAW00018038,14/11/1980,Female
NASAW00018039,17/4/1981,Male
NASAW00018040,7/5/1979,Male
NASAW00018041,25/7/1978,Female
NASAW00018042,16/9/1978,Male
NASAW00018043,3/2/1984,Female
NASAW00018044,2/3/1984,Female
NASAW00018045,9/4/1984,Female
NASAW00018046,3/3/1979,Male
NASAW00018047,9/8/1979,Female
NASAW00018048,4/4/1980,Female
NASAW00018049,20/11/1977,Male
NASAW00018050,6/12/1966,Female
NASAW00018051,7/5/1967,Female
NASAW00018052,6/8/1972,Female
NASAW00018053,6/4/1966,Female
NASAW00018054,3/10/1971,Male
NASAW00018055,31/12/1972,Male
NASAW00018056,6/9/1978,Female
NASAW00018057,1/10/1983,Male
NASAW00018058,1/9/1933,Female
NASAW00018059,11/11/1965,Female
NASAW00018060,8/10/1965,Female
NASAW00018061,6/1/1955,Male
NASAW00018062,14/1/1961,Male
NASAW00018063,16/6/1955,Female
NASAW00018064,7/7/1950,Female
NASAW00018065,15/10/1950,Female
NASAW00018066,16/7/1951,Male
NASAW00018067,7/2/1952,Male
NASAW00018068,22/5/1952,Male
NASAW00018069,23/12/1951,Male
NASAW00018070,4/8/1951,Female
NASAW00018071,9/8/1957,Female
NASAW00018072,31/1/1952,Female
NASAW00018073,11/2/1952,Male
NASAW00018074,14/10/1952,Female
NASAW00018075,7/7/1952,Female
NASAW00018076,11/4/1969,Male
NASAW00018077,11/8/1958,Male
NASAW00018078,17/10/1952,Male
NASAW00018079,11/11/1952,Female
NASAW00018080,12/5/1953,Female
NASAW00018081,21/11/1953,Female
NASAW00018082,9/4/1965,Male
NASAW00018083,16/10/1953,Male
NASAW00018084,5/10/1953,Female
NASAW00018085,16/2/1954,Female
NASAW00018086,7/4/1954,Female
NASAW00018087,14/1/1954,Male
NASAW00018088,22/7/1953,Male
NASAW00018089,13/3/1955,Female
NASAW00018090,1/9/1960,Male
NASAW00018091,9/5/1960,Male
NASAW00018092,13/9/1954,Male
NASAW00018093,5/5/1955,Female
NASAW00018094,1/1/1955,Male
NASAW00018095,12/5/1955,Male
NASAW00018096,30/8/1954,Female
NASAW00018097,15/8/1961,Female
NASAW00018098,8/5/1956,Male
NASAW00018099,6/5/1961,Male
NASAW00018100,6/4/1956,Male
NASAW00018101,26/10/1955,Female
NASAW00018102,16/11/1955,Male
NASAW00018103,21/12/1956,Female
NASAW00018104,20/12/1956,Female
NASAW00018105,8/2/1962,Female
NASAW00018106,13/4/1957,Male
NASAW00018107,9/10/1956,Female
NASAW00018108,31/1/1957,Male
NASAW00018109,26/8/1956,Male
NASAW00018110,20/5/1962,Male
NASAW00018111,24/5/1962,Male
NASAW00018112,19/11/1956,Female
NASAW00018113,26/8/1956,Female
NASAW00018114,19/2/1963,Female
NASAW00018115,15/6/1958,Male
NASAW00018116,9/1/1958,Male
NASAW00018117,18/1/1969,Male
NASAW00018118,22/10/1957,Female
NASAW00018119,7/5/1963,Male
NASAW00018120,25/12/1957,Female
NASAW00018121,20/10/1974,Female
NASAW00018122,31/3/1959,Male
NASAW00018123,12/4/1964,Female
NASAW00018124,1/5/1975,Male
NASAW00018125,13/11/1974,Female
NASAW00018126,9/6/1964,Male
NASAW00018127,22/3/1964,Male
NASAW00018128,6/6/1963,Male
NASAW00018129,4/12/1962,Female
NASAW00018130,8/8/1962,Female
NASAW00018131,6/7/1961,Female
NASAW00018132,20/12/1961,Female
NASAW00018133,2/1/1978,Female
NASAW00018134,22/1/1967,Female
NASAW00018135,13/12/1967,Male
NASAW00018136,3/9/1967,Male
NASAW00018137,10/7/1960,Male
NASAW00018138,8/8/1960,Male
NASAW00018139,8/8/1971,Female
NASAW00018140,30/12/1960,Male
NASAW00018141,3/10/1966,Female
NASAW00018142,12/10/1959,Female
NASAW00018143,14/5/1950,Male
NASAW00018144,3/11/1955,Female
NASAW00018145,11/2/1961,Male
NASAW00018146,26/12/1949,Male
NASAW00018147,22/4/1950,Female
NASAW00018148,13/5/1951,Female
NASAW00018149,7/3/1962,Female
NASAW00018150,17/1/1952,Male
NASAW00018151,2/11/1957,Male
NASAW00018152,31/8/1951,Male
NASAW00018153,17/4/1952,Female
NASAW00018154,19/2/1952,Male
NASAW00018155,7/3/1960,Female
NASAW00018156,31/7/1969,Female
NASAW00018157,3/9/1958,Female
NASAW00018158,11/12/1958,Male
NASAW00018159,20/9/1965,Female
NASAW00018160,10/10/1965,Male
NASAW00018161,6/4/1959,Female
NASAW00018162,18/1/1959,Female
NASAW00018163,11/8/1958,Male
NASAW00018164,17/2/1959,Female
NASAW00018165,16/5/1959,Male
NASAW00018166,21/1/1959,Male
NASAW00018167,9/8/1957,Male
NASAW00018168,12/8/1974,Male
NASAW00018169,9/4/1962,Female
NASAW00018170,1/2/1957,Male
NASAW00018171,30/9/1956,Male
NASAW00018172,19/12/1956,Male
NASAW00018173,29/11/1956,Male
NASAW00018174,30/12/1960,Female
NASAW00018175,13/11/1955,Female
NASAW00018176,24/12/1955,Male
NASAW00018177,12/9/1961,Male
NASAW00018178,23/10/1955,Female
NASAW00018179,9/10/1954,Female
NASAW00018180,13/2/1955,Male
NASAW00018181,8/10/1960,Male
NASAW00018182,4/4/1954,Female
NASAW00018183,18/6/1954,Female
NASAW00018184,8/7/1952,Male
NASAW00018185,5/5/1953,Female
NASAW00018186,29/1/1953,Female
NASAW00018187,19/8/1952,Male
NASAW00018188,9/9/1980,Male
NASAW00018189,20/4/1982,Female
NASAW00018190,17/2/1981,Male
NASAW00018191,9/2/1981,Female
NASAW00018192,13/7/1979,Male
NASAW00018193,20/6/1981,Male
NASAW00018194,11/3/1980,Female
NASAW00018195,16/8/1985,Male
NASAW00018196,20/9/1979,Male
NASAW00018197,10/1/1980,Female
NASAW00018198,21/9/1979,Male
NASAW00018199,7/9/1979,Female
NASAW00018200,7/12/1978,Male
NASAW00018201,23/4/1979,Female
NASAW00018202,14/10/1978,Female
NASAW00018203,26/8/1978,Male
NASAW00018204,21/5/1979,Female
NASAW00018205,25/5/1983,Female
NASAW00018206,17/3/1983,Male
NASAW00018207,19/3/1978,Male
NASAW00018208,3/8/1976,Female
NASAW00018209,8/3/1978,Female
NASAW00018210,23/3/1983,Female
NASAW00018211,11/7/1977,Female
NASAW00018212,6/9/1976,Male
NASAW00018213,16/9/1976,Female
NASAW00018214,26/6/1977,Male
NASAW00018215,3/4/1976,Female
NASAW00018216,22/11/1981,Female
NASAW00018217,19/12/1975,Male
NASAW00018218,2/8/1981,Male
NASAW00018219,2/11/1981,Female
NASAW00018220,11/5/1977,Male
NASAW00018221,15/2/1977,Male
NASAW00018222,29/8/1980,Female
NASAW00018223,21/9/1975,Male
NASAW00018224,9/4/1970,Female
NASAW00018225,22/4/1970,Female
NASAW00018226,3/5/1971,Male
NASAW00018227,20/6/1977,Female
NASAW00018228,25/10/1965,Male
NASAW00018229,19/5/1965,Female
NASAW00018230,8/8/1970,Female
NASAW00018231,30/9/1964,Female
NASAW00018232,8/2/1975,Female
NASAW00018233,6/2/1964,Female
NASAW00018234,1/11/1963,Female
NASAW00018235,3/4/1975,Male
NASAW00018236,9/5/1969,Male
NASAW00018237,6/10/1974,Female
NASAW00018238,1/6/1975,Male
NASAW00018239,19/7/1980,Female
NASAW00018240,3/4/1975,Male
NASAW00018241,10/9/1974,Male
NASAW00018242,7/1/1975,Female
NASAW00018243,21/11/1980,Male
NASAW00018244,2/7/1980,Female
NASAW00018245,11/8/1973,Female
NASAW00018246,23/5/1976,Male
NASAW00018247,13/8/1973,Female
NASAW00018248,18/2/1975,Male
NASAW00018249,15/6/1975,Female
NASAW00018250,13/1/1973,Male
NASAW00018251,17/10/1978,Male
NASAW00018252,21/11/1977,Male
NASAW00018253,7/2/1972,Female
NASAW00018254,19/2/1972,Male
NASAW00018255,5/7/1976,Female
NASAW00018256,17/1/1971,Male
NASAW00018257,9/4/1974,Female
NASAW00018258,20/4/1979,Female
NASAW00018259,12/1/1982,Female
NASAW00018260,18/12/1976,Female
NASAW00018261,30/1/1982,Female
NASAW00018262,25/9/1969,Female
NASAW00018263,19/4/1975,Female
NASAW00018264,3/12/1969,Male
NASAW00018265,18/1/1975,Female
NASAW00018266,13/4/1969,Female
NASAW00018267,19/11/1968,Male
NASAW00018268,26/7/1968,Male
NASAW00018269,13/5/1974,Female
NASAW00018270,5/10/1968,Female
NASAW00018271,12/12/1979,Male
NASAW00018272,14/10/1972,Female
NASAW00018273,8/4/1973,Female
NASAW00018274,19/11/1978,Female
NASAW00018275,24/1/1968,Female
NASAW00018276,3/8/1973,Female
NASAW00018277,13/3/1968,Male
NASAW00018278,21/11/1966,Male
NASAW00018279,20/3/1967,Female
NASAW00018280,21/11/1966,Male
NASAW00018281,14/6/1978,Female
NASAW00018282,5/6/1972,Female
NASAW00018283,11/1/1972,Female
NASAW00018284,23/1/1972,Male
NASAW00018285,1/2/1966,Male
NASAW00018286,6/5/1977,Female
NASAW00018287,30/9/1938,Female
NASAW00018288,24/2/1971,Female
NASAW00018289,24/2/1971,Female
NASAW00018290,18/10/1975,Female
NASAW00018291,10/8/1969,Female
NASAW00018292,6/8/1975,Male
NASAW00018293,31/10/1964,Male
NASAW00018294,5/3/1965,Female
NASAW00018295,5/1/1965,Female
NASAW00018296,15/5/1969,Female
NASAW00018297,22/8/1974,Female
NASAW00018298,6/10/1973,Male
NASAW00018299,20/9/1967,Male
NASAW00018300,9/1/1967,Female
NASAW00018301,9/8/1963,Female
NASAW00018302,23/8/1969,Male
NASAW00018303,7/1/1964,Male
NASAW00018304,27/4/1963,Female
NASAW00018305,21/11/1941,Male
NASAW00018306,6/5/1977,Female
NASAW00018307,4/11/1961,Female
NASAW00018308,5/3/1967,Female
NASAW00018309,14/9/1961,Female
NASAW00018310,3/4/1955,Male
NASAW00018311,9/11/1980,Female
NASAW00018312,19/7/1980,Male
NASAW00018313,12/11/1985,Female
NASAW00018314,15/5/1986,Male
NASAW00018315,1/10/1985,Female
NASAW00018316,26/5/1986,Male
NASAW00018317,15/11/1985,Female
NASAW00018318,22/2/1986,Male
NASAW00018319,12/8/1948,Female
NASAW00018320,2/10/1984,Male
NASAW00018321,6/2/1985,Male
NASAW00018322,14/3/1985,Male
NASAW00018323,20/11/1983,Male
NASAW00018324,16/10/1983,Male
NASAW00018325,5/4/1944,Female
NASAW00018326,20/6/1944,Male
NASAW00018327,24/7/1982,Male
NASAW00018328,19/4/1983,Male
NASAW00018329,14/2/1985,Male
NASAW00018330,4/3/1950,Female
NASAW00018331,5/6/1951,Male
NASAW00018332,11/7/1945,Male
NASAW00018333,17/8/1952,Female
NASAW00018334,25/4/1947,Male
NASAW00018335,5/10/1953,Male
NASAW00018336,9/7/1947,Female
NASAW00018337,10/8/1953,Female
NASAW00018338,8/1/1959,Female
NASAW00018339,1/12/1981,Female
NASAW00018340,20/10/1981,Female
NASAW00018341,31/10/1981,Male
NASAW00018342,12/1/1982,Female
NASAW00018343,25/1/1982,Male
NASAW00018344,20/8/1981,Male
NASAW00018345,18/3/1981,Female
NASAW00018346,18/8/1985,Female
NASAW00018347,1/5/1980,Male
NASAW00018348,1/5/1980,Male
NASAW00018349,14/10/1979,Male
NASAW00018350,10/5/1979,Male
NASAW00018351,12/8/1977,Male
NASAW00018352,22/5/1978,Male
NASAW00018353,9/8/1977,Male
NASAW00018354,16/11/1972,Male
NASAW00018355,20/1/1974,Male
NASAW00018356,30/1/1974,Male
NASAW00018357,12/2/1974,Male
NASAW00018358,21/2/1985,Male
NASAW00018359,8/9/1984,Male
NASAW00018360,12/3/1985,Male
NASAW00018361,24/6/1985,Male
NASAW00018362,12/5/1984,Male
NASAW00018363,6/7/1983,Male
NASAW00018364,4/10/1983,Male
NASAW00018365,19/3/1984,Male
NASAW00018366,22/11/1983,Male
NASAW00018367,24/4/1951,Male
NASAW00018368,8/8/1976,Male
NASAW00018369,12/2/1977,Male
NASAW00018370,11/8/1976,Male
NASAW00018371,6/5/1977,Male
NASAW00018372,19/9/1977,Male
NASAW00018373,8/8/1983,Male
NASAW00018374,12/4/1981,Male
NASAW00018375,20/11/1969,Male
NASAW00018376,23/7/1967,Male
NASAW00018377,2/7/1967,Male
NASAW00018378,10/4/1967,Male
NASAW00018379,15/3/1973,Male
NASAW00018380,25/12/1961,Male
NASAW00018381,5/5/1962,Male
NASAW00018382,5/8/1968,Male
NASAW00018383,3/6/1974,Male
NASAW00018384,22/1/1974,Male
NASAW00018385,13/12/1979,Male
NASAW00018386,22/11/1968,Male
NASAW00018387,9/8/1974,Male
NASAW00018388,15/5/1969,Male
NASAW00018389,23/8/1967,Male
NASAW00018390,31/3/1973,Male
NASAW00018391,9/7/1967,Male
NASAW00018392,20/6/1973,Male
NASAW00018393,18/1/1968,Male
NASAW00018394,16/11/1967,Male
NASAW00018395,1/1/1968,Male
NASAW00018396,7/9/1973,Male
NASAW00018397,10/12/1967,Male
NASAW00018398,20/7/1967,Male
NASAW00018399,9/8/1967,Male
NASAW00018400,20/6/1973,Male
NASAW00018401,24/3/1967,Male
NASAW00018402,17/5/1967,Female
NASAW00018403,26/8/1966,Female
NASAW00018404,4/2/1967,Female
NASAW00018405,8/12/1966,Female
NASAW00018406,23/10/1972,Male
NASAW00018407,19/5/1961,Female
NASAW00018408,3/6/1961,Male
NASAW00018409,11/3/1961,Female
NASAW00018410,20/5/1961,Male
NASAW00018411,17/1/1961,Male
NASAW00018412,23/9/1960,Female
NASAW00018413,28/1/1961,Male
NASAW00018414,3/4/1941,Female
NASAW00018415,19/5/1941,Female
NASAW00018416,19/11/1965,Female
NASAW00018417,4/12/1976,Male
NASAW00018418,20/12/1971,Female
NASAW00018419,16/6/1966,Female
NASAW00018420,11/10/1976,Female
NASAW00018421,13/2/1966,Female
NASAW00018422,31/10/1965,Female
NASAW00018423,1/2/1960,Male
NASAW00018424,9/1/1960,Male
NASAW00018425,13/3/1960,Male
NASAW00018426,21/9/1958,Male
NASAW00018427,19/4/1964,Male
NASAW00018428,21/8/1958,Female
NASAW00018429,11/9/1958,Female
NASAW00018430,6/1/1958,Female
NASAW00018431,24/2/1958,Male
NASAW00018432,4/4/1949,Female
NASAW00018433,24/1/1944,Male
NASAW00018434,1/8/1943,Male
NASAW00018435,15/2/1945,Female
NASAW00018436,16/11/1944,Male
NASAW00018437,5/12/1951,Female
NASAW00018438,21/9/1946,Female
NASAW00018439,12/1/1947,Female
NASAW00018440,4/5/1947,Male
NASAW00018441,17/8/1952,Female
NASAW00018442,30/8/1946,Male
NASAW00018443,31/7/1969,Male
NASAW00018444,10/7/1958,Female
NASAW00018445,17/11/1958,Male
NASAW00018446,17/8/1952,Male
NASAW00018447,24/3/1954,Female
NASAW00018448,2/7/1983,Female
NASAW00018449,13/3/1983,Male
NASAW00018450,20/2/1954,Male
NASAW00018451,5/11/1953,Male
NASAW00018452,9/6/1959,Male
NASAW00018453,30/11/1982,Female
NASAW00018454,23/5/1983,Male
NASAW00018455,25/3/1983,Male
NASAW00018456,5/3/1983,Male
NASAW00018457,12/1/1961,Female
NASAW00018458,8/4/1961,Male
NASAW00018459,10/7/1985,Female
NASAW00018460,7/10/1985,Female
NASAW00018461,11/1/1958,Female
NASAW00018462,17/7/1957,Male
NASAW00018463,8/1/1958,Female
NASAW00018464,22/3/1958,Female
NASAW00018465,18/2/1963,Female
NASAW00018466,8/3/1964,Female
NASAW00018467,20/5/1970,Male
NASAW00018468,1/11/1958,Male
NASAW00018469,7/9/1959,Female
NASAW00018470,17/4/1960,Female
NASAW00018471,13/2/1986,Female
NASAW00018472,1/12/1980,Female
NASAW00018473,23/11/1980,Male
NASAW00018474,7/1/1981,Male
NASAW00018475,23/11/1979,Female
NASAW00018476,13/8/1985,Female
NASAW00018477,7/2/1979,Female
NASAW00018478,1/10/1984,Male
NASAW00018479,18/4/1979,Female
NASAW00018480,6/1/1979,Female
NASAW00018481,11/9/1978,Female
NASAW00018482,14/3/1961,Female
NASAW00018483,3/9/1971,Male
NASAW00018484,10/6/1972,Male
NASAW00018485,20/5/1961,Male
NASAW00018486,5/6/1962,Female
NASAW00018487,9/4/1962,Female
NASAW00018488,20/11/1961,Male
NASAW00018489,12/3/1973,Male
NASAW00018490,19/11/1968,Male
NASAW00018491,24/11/1962,Female
NASAW00018492,11/4/1964,Female
NASAW00018493,30/8/1969,Female
NASAW00018494,4/11/1963,Male
NASAW00018495,30/8/1969,Male
NASAW00018496,1/2/1969,Male
NASAW00018497,16/2/1979,Male
NASAW00018498,15/1/1979,Male
NASAW00018499,17/11/1979,Male
NASAW00018500,23/12/1979,Male
NASAW00018501,8/2/1980,Female
NASAW00018502,2/4/1980,Female
NASAW00018503,13/11/1971,Male
NASAW00018504,6/8/1962,Male
NASAW00018505,4/5/1963,Female
NASAW00018506,17/7/1962,Male
NASAW00018507,10/1/1963,Male
NASAW00018508,21/1/1963,Female
NASAW00018509,10/10/1972,Male
NASAW00018510,25/8/1961,Male
NASAW00018511,20/11/1961,Female
NASAW00018512,6/12/1961,Male
NASAW00018513,19/5/1962,Male
NASAW00018514,16/6/1962,Female
NASAW00018515,5/1/1962,Female
NASAW00018516,4/2/1938,Male
NASAW00018517,30/8/1981,Male
NASAW00018518,9/11/1970,Female
NASAW00018519,20/8/1976,Male
NASAW00018520,27/5/1971,Male
NASAW00018521,16/3/1976,Female
NASAW00018522,4/3/1976,Male
NASAW00018523,10/1/1970,Male
NASAW00018524,22/3/1975,Male
NASAW00018525,29/9/1968,Male
NASAW00018526,20/12/1973,Male
NASAW00018527,24/8/1973,Male
NASAW00018528,2/5/1968,Male
NASAW00018529,19/8/1966,Male
NASAW00018530,18/6/1948,Male
NASAW00018531,14/8/1947,Male
NASAW00018532,7/11/1947,Male
NASAW00018533,19/2/1959,Male
NASAW00018534,26/5/1949,Male
NASAW00018535,5/4/1949,Male
NASAW00018536,18/9/1948,Female
NASAW00018537,3/7/1948,Female
NASAW00018538,13/3/1949,Male
NASAW00018539,14/2/1954,Female
NASAW00018540,25/12/1948,Female
NASAW00018541,2/1/1949,Female
NASAW00018542,30/12/1948,Male
NASAW00018543,21/3/1955,Male
NASAW00018544,31/5/1950,Female
NASAW00018545,8/11/1955,Male
NASAW00018546,21/12/1977,Female
NASAW00018547,3/3/1983,Male
NASAW00018548,3/2/1981,Male
NASAW00018549,11/4/1976,Female
NASAW00018550,18/4/1976,Female
NASAW00018551,3/10/1975,Female
NASAW00018552,2/4/1976,Female
NASAW00018553,4/1/1976,Male
NASAW00018554,17/5/1976,Female
NASAW00018555,15/4/1976,Female
NASAW00018556,2/4/1975,Male
NASAW00018557,16/9/1976,Female
NASAW00018558,21/3/1977,Female
NASAW00018559,13/12/1982,Male
NASAW00018560,29/10/1982,Female
NASAW00018561,15/1/1977,Female
NASAW00018562,14/12/1974,Female
NASAW00018563,4/6/1980,Male
NASAW00018564,3/5/1978,Male
NASAW00018565,12/9/1975,Male
NASAW00018566,16/3/1976,Male
NASAW00018567,3/7/1972,Female
NASAW00018568,17/12/1972,Female
NASAW00018569,3/10/1971,Female
NASAW00018570,20/10/1971,Male
NASAW00018571,5/5/1972,Male
NASAW00018572,15/5/1972,Female
NASAW00018573,15/12/1971,Female
NASAW00018574,18/4/1972,Female
NASAW00018575,12/4/1972,Female
NASAW00018576,9/1/1983,Female
NASAW00018577,20/12/1971,Female
NASAW00018578,11/12/1971,Male
NASAW00018579,11/3/1977,Male
NASAW00018580,6/10/1980,Female
NASAW00018581,4/6/1980,Female
NASAW00018582,25/7/1974,Male
NASAW00018583,14/1/1975,Male
NASAW00018584,16/7/1985,Female
NASAW00018585,24/2/1975,Female
NASAW00018586,19/2/1975,Male
NASAW00018587,1/2/1971,Female
NASAW00018588,18/5/1971,Female
NASAW00018589,1/7/1976,Female
NASAW00018590,23/3/1971,Female
NASAW00018591,9/11/1970,Male
NASAW00018592,9/3/1971,Female
NASAW00018593,31/12/1970,Female
NASAW00018594,20/4/1971,Female
NASAW00018595,2/8/1981,Male
NASAW00018596,11/12/1970,Female
NASAW00018597,23/6/1976,Female
NASAW00018598,16/3/1975,Male
NASAW00018599,6/10/1969,Male
NASAW00018600,10/11/1975,Female
NASAW00018601,24/10/1969,Female
NASAW00018602,15/11/1975,Male
NASAW00018603,9/3/1975,Female
NASAW00018604,19/11/1969,Female
NASAW00018605,16/5/1970,Male
NASAW00018606,24/4/1970,Male
NASAW00018607,11/12/1969,Female
NASAW00018608,15/10/1969,Male
NASAW00018609,8/12/1980,Female
NASAW00018610,10/7/1968,Female
NASAW00018611,24/2/1969,Female
NASAW00018612,16/11/1979,Female
NASAW00018613,14/5/1974,Male
NASAW00018614,12/11/1973,Male
NASAW00018615,6/9/1979,Male
NASAW00018616,4/8/1968,Male
NASAW00018617,30/1/1969,Male
NASAW00018618,20/5/1978,Male
NASAW00018619,1/9/1978,Male
NASAW00018620,15/1/1979,Male
NASAW00018621,17/4/1979,Female
NASAW00018622,17/5/1978,Male
NASAW00018623,6/3/1978,Female
NASAW00018624,1/11/1983,Male
NASAW00018625,11/12/1977,Male
NASAW00018626,8/3/1978,Male
NASAW00018627,6/9/1983,Female
NASAW00018628,14/3/1977,Female
NASAW00018629,21/8/1976,Male
NASAW00018630,19/8/1976,Female
NASAW00018631,4/7/1976,Female
NASAW00018632,5/10/1982,Male
NASAW00018633,20/9/1982,Male
NASAW00018634,10/12/1982,Female
NASAW00018635,17/2/1977,Female
NASAW00018636,12/12/1976,Male
NASAW00018637,5/6/1981,Male
NASAW00018638,7/12/1979,Female
NASAW00018639,7/3/1980,Female
NASAW00018640,19/12/1979,Male
NASAW00018641,11/5/1981,Male
NASAW00018642,16/9/1980,Female
NASAW00018643,22/12/1936,Male
NASAW00018644,15/8/1971,Female
NASAW00018645,18/9/1971,Male
NASAW00018646,8/3/1977,Male
NASAW00018647,17/12/1958,Female
NASAW00018648,13/12/1959,Female
NASAW00018649,10/2/1961,Male
NASAW00018650,30/1/1966,Male
NASAW00018651,30/10/1971,Male
NASAW00018652,3/3/1961,Female
NASAW00018653,3/10/1971,Male
NASAW00018654,15/12/1960,Male
NASAW00018655,7/4/1961,Male
NASAW00018656,22/10/1961,Male
NASAW00018657,23/5/1962,Male
NASAW00018658,2/2/1962,Male
NASAW00018659,1/12/1961,Female
NASAW00018660,22/4/1962,Female
NASAW00018661,31/5/1963,Male
NASAW00018662,17/5/1963,Male
NASAW00018663,21/9/1962,Male
NASAW00018664,14/8/1973,Male
NASAW00018665,22/10/1962,Female
NASAW00018666,8/11/1968,Female
NASAW00018667,8/5/1968,Female
NASAW00018668,14/11/1962,Male
NASAW00018669,10/6/1964,Male
NASAW00018670,30/6/1969,Female
NASAW00018671,11/4/1964,Female
NASAW00018672,5/4/1964,Male
NASAW00018673,21/8/1969,Male
NASAW00018674,16/3/1969,Female
NASAW00018675,31/10/1975,Female
NASAW00018676,3/9/1964,Male
NASAW00018677,4/11/1964,Male
NASAW00018678,5/11/1970,Male
NASAW00018679,23/1/1978,Male
NASAW00018680,3/5/1979,Male
NASAW00018681,20/4/1979,Female
NASAW00018682,5/1/1979,Female
NASAW00018683,20/2/1979,Male
NASAW00018684,4/3/1979,Female
NASAW00018685,24/11/1976,Male
NASAW00018686,9/10/1982,Male
NASAW00018687,16/1/1982,Female
NASAW00018688,6/1/1969,Male
NASAW00018689,29/12/1963,Male
NASAW00018690,6/10/1934,Male
NASAW00018691,20/3/1980,Female
NASAW00018692,7/2/1980,Male
NASAW00018693,17/12/1974,Female
NASAW00018694,18/1/1975,Male
NASAW00018695,4/5/1975,Male
NASAW00018696,24/3/1975,Female
NASAW00018697,2/12/1973,Female
NASAW00018698,3/1/1974,Female
NASAW00018699,14/10/1979,Male
NASAW00018700,5/4/1974,Male
NASAW00018701,30/1/1974,Male
NASAW00018702,6/10/1973,Female
NASAW00018703,6/9/1978,Male
NASAW00018704,20/8/1972,Female
NASAW00018705,24/2/1973,Male
NASAW00018706,16/11/1974,Male
NASAW00018707,26/10/1974,Male
NASAW00018708,24/5/1975,Male
NASAW00018709,4/12/1974,Male
NASAW00018710,18/2/1975,Male
NASAW00018711,10/11/1972,Female
NASAW00018712,7/2/1972,Male
NASAW00018713,14/5/1972,Female
NASAW00018714,12/2/1972,Male
NASAW00018715,25/3/1971,Male
NASAW00018716,29/1/1974,Male
NASAW00018717,21/7/1970,Female
NASAW00018718,8/12/1970,Female
NASAW00018719,19/4/1970,Male
NASAW00018720,26/6/1969,Female
NASAW00018721,2/12/1968,Male
NASAW00018722,15/7/1974,Male
NASAW00018723,15/11/1968,Female
NASAW00018724,1/5/1984,Female
NASAW00018725,5/10/1978,Female
NASAW00018726,30/8/1967,Female
NASAW00018727,9/4/1967,Female
NASAW00018728,18/10/1971,Male
NASAW00018729,4/10/1965,Male
NASAW00018730,7/10/1964,Male
NASAW00018731,29/12/1964,Male
NASAW00018732,16/11/1937,Male
NASAW00018733,22/4/1971,Male
NASAW00018734,7/11/1980,Female
NASAW00018735,19/4/1970,Female
NASAW00018736,9/6/1970,Female
NASAW00018737,17/1/1965,Male
NASAW00018738,8/4/1974,Female
NASAW00018739,23/6/1972,Female
NASAW00018740,3/3/1964,Male
NASAW00018741,22/7/1941,Male
NASAW00018742,16/12/1965,Male
NASAW00018743,10/4/1966,Male
NASAW00018744,24/1/1966,Female
NASAW00018745,14/10/1968,Female
NASAW00018746,11/11/1968,Male
NASAW00018747,6/11/1961,Female
NASAW00018748,17/12/1960,Female
NASAW00018749,11/2/1982,Female
NASAW00018750,1/11/1981,Female
NASAW00018751,1/12/1981,Female
NASAW00018752,24/12/1980,Female
NASAW00018753,15/5/1986,Male
